Time_s,X,Y,Z
15.477,0.391,-0.066,-0.922
15.51,0.387,-0.066,-0.926
15.543,0.387,-0.059,-0.922
15.576,0.383,-0.063,-0.93
15.609,0.371,-0.066,-0.93
15.642,0.379,-0.063,-0.926
15.675,0.379,-0.059,-0.926
15.708,0.391,-0.07,-0.922
15.741,0.387,-0.059,-0.922
15.774,0.375,-0.059,-0.926
15.807,0.375,-0.063,-0.93
15.84,0.383,-0.07,-0.922
15.873,0.387,-0.059,-0.926
15.906,0.383,-0.066,-0.93
15.939,0.375,-0.059,-0.93
15.972,0.387,-0.063,-0.926
16.005,0.387,-0.063,-0.926
16.038,0.371,-0.059,-0.922
16.071,0.391,-0.063,-0.926
16.104,0.391,-0.07,-0.926
16.137,0.379,-0.066,-0.93
16.17,0.375,-0.066,-0.922
16.203,0.383,-0.07,-0.926
16.236,0.383,-0.066,-0.922
16.269,0.379,-0.063,-0.922
16.302,0.387,-0.066,-0.922
16.335,0.375,-0.063,-0.93
16.368,0.379,-0.047,-0.93
16.401,0.383,-0.063,-0.922
16.434,0.387,-0.066,-0.922
16.467,0.383,-0.063,-0.926
16.5,0.371,-0.059,-0.926
16.533,0.363,-0.059,-0.926
16.566,0.383,-0.059,-0.93
16.599,0.395,-0.066,-0.918
16.632,0.379,-0.074,-0.926
16.665,0.359,-0.059,-0.934
16.698,0.379,-0.066,-0.93
16.731,0.391,-0.066,-0.922
16.764,0.387,-0.066,-0.922
16.797,0.371,-0.066,-0.93
16.83,0.371,-0.063,-0.93
16.863,0.391,-0.047,-0.926
16.896,0.391,-0.066,-0.922
16.929,0.375,-0.059,-0.934
16.962,0.363,-0.059,-0.934
16.995,0.383,-0.066,-0.93
17.028,0.379,-0.066,-0.93
17.061,0.375,-0.063,-0.934
17.094,0.375,-0.066,-0.934
17.127,0.383,-0.063,-0.922
17.16,0.387,-0.07,-0.93
17.193,0.383,-0.066,-0.93
17.226,0.375,-0.063,-0.934
17.259,0.371,-0.059,-0.93
17.292,0.379,-0.063,-0.926
17.325,0.383,-0.066,-0.926
17.358,0.371,-0.059,-0.938
17.391,0.363,-0.063,-0.93
17.424,0.379,-0.059,-0.93
17.457,0.375,-0.055,-0.934
17.49,0.379,-0.063,-0.926
17.523,0.391,-0.066,-0.93
17.556,0.383,-0.063,-0.926
17.589,0.375,-0.059,-0.93
17.622,0.375,-0.063,-0.926
17.655,0.391,-0.066,-0.922
17.688,0.387,-0.066,-0.926
17.721,0.363,-0.063,-0.934
17.754,0.367,-0.066,-0.934
17.787,0.383,-0.063,-0.926
17.82,0.395,-0.07,-0.922
17.853,0.375,-0.055,-0.926
17.886,0.359,-0.059,-0.93
17.919,0.383,-0.063,-0.926
17.952,0.391,-0.066,-0.926
