Accelerometer X,Accelerometer Y,Accelerometer Z,Time(s)
-0.152,0.426,-0.906,6.149
-0.156,0.434,-0.902,6.16
-0.152,0.43,-0.906,6.171
-0.148,0.434,-0.906,6.182
-0.152,0.438,-0.906,6.193
-0.156,0.438,-0.902,6.204
-0.156,0.438,-0.902,6.215
-0.156,0.438,-0.906,6.226
-0.156,0.438,-0.906,6.237
-0.156,0.43,-0.906,6.248
-0.164,0.43,-0.906,6.259
-0.16,0.43,-0.906,6.27
-0.16,0.43,-0.906,6.281
-0.16,0.426,-0.906,6.292
-0.16,0.43,-0.91,6.303
-0.16,0.438,-0.914,6.314
-0.156,0.438,-0.906,6.325
-0.156,0.434,-0.906,6.336
-0.156,0.43,-0.91,6.347
-0.156,0.434,-0.91,6.358
-0.156,0.43,-0.91,6.369
-0.156,0.43,-0.906,6.38
-0.156,0.43,-0.906,6.391
-0.156,0.434,-0.906,6.402
-0.156,0.438,-0.906,6.413
-0.16,0.434,-0.906,6.424
-0.16,0.43,-0.906,6.435
-0.156,0.445,-0.91,6.446
-0.156,0.438,-0.906,6.457
-0.16,0.434,-0.91,6.468
-0.16,0.43,-0.906,6.479
-0.156,0.43,-0.91,6.49
-0.156,0.434,-0.906,6.501
-0.152,0.43,-0.902,6.512
-0.156,0.43,-0.906,6.523
-0.16,0.426,-0.906,6.534
-0.16,0.434,-0.906,6.545
-0.16,0.434,-0.906,6.556
-0.164,0.434,-0.906,6.567
-0.164,0.434,-0.906,6.578
-0.164,0.43,-0.906,6.589
-0.164,0.43,-0.902,6.6
-0.16,0.43,-0.902,6.611
-0.156,0.434,-0.902,6.622
-0.156,0.434,-0.902,6.633
-0.16,0.434,-0.898,6.644
-0.156,0.438,-0.902,6.655
-0.156,0.438,-0.902,6.666
-0.156,0.434,-0.906,6.677
-0.156,0.43,-0.906,6.688
-0.156,0.434,-0.91,6.699
-0.148,0.43,-0.91,6.71
-0.152,0.438,-0.906,6.721
-0.148,0.438,-0.902,6.732
-0.152,0.438,-0.906,6.743
-0.156,0.434,-0.902,6.754
-0.16,0.43,-0.906,6.765
-0.168,0.43,-0.91,6.776
-0.172,0.438,-0.906,6.787
-0.168,0.434,-0.91,6.798
-0.16,0.438,-0.906,6.809
-0.156,0.43,-0.906,6.82
-0.156,0.434,-0.906,6.831
-0.16,0.434,-0.906,6.842
-0.16,0.434,-0.906,6.853
-0.156,0.434,-0.906,6.864
-0.156,0.438,-0.902,6.875
-0.148,0.438,-0.902,6.886
-0.152,0.434,-0.902,6.897
-0.152,0.434,-0.906,6.908
-0.152,0.438,-0.906,6.919
-0.156,0.434,-0.906,6.93
-0.156,0.445,-0.902,6.941
-0.148,0.434,-0.902,6.952
-0.148,0.434,-0.902,6.963
-0.148,0.43,-0.902,6.974
-0.145,0.43,-0.902,6.985
-0.148,0.434,-0.902,6.996
-0.148,0.434,-0.906,7.007
-0.148,0.438,-0.906,7.018
-0.152,0.438,-0.914,7.029
-0.152,0.438,-0.918,7.04
-0.152,0.434,-0.91,7.051
-0.156,0.438,-0.91,7.062
-0.156,0.43,-0.906,7.073
-0.148,0.426,-0.906,7.084
-0.152,0.434,-0.902,7.095
-0.156,0.434,-0.906,7.106
-0.16,0.438,-0.906,7.117
-0.164,0.438,-0.902,7.128
-0.16,0.438,-0.902,7.139
-0.156,0.43,-0.902,7.15
-0.152,0.434,-0.906,7.161
-0.152,0.43,-0.906,7.172
-0.152,0.434,-0.906,7.183
-0.148,0.438,-0.902,7.194
-0.152,0.438,-0.906,7.205
-0.145,0.438,-0.91,7.216
-0.141,0.434,-0.906,7.227
-0.145,0.438,-0.902,7.238
-0.141,0.438,-0.906,7.249
-0.145,0.441,-0.902,7.26
-0.148,0.441,-0.906,7.271
-0.145,0.438,-0.906,7.282
-0.141,0.438,-0.898,7.293
-0.148,0.441,-0.902,7.304
-0.148,0.434,-0.902,7.315
-0.145,0.434,-0.902,7.326
-0.145,0.43,-0.902,7.337
-0.152,0.434,-0.906,7.348
-0.152,0.438,-0.91,7.359
-0.152,0.434,-0.91,7.37
-0.156,0.43,-0.914,7.381
-0.156,0.434,-0.91,7.392
-0.148,0.438,-0.91,7.403
-0.141,0.438,-0.902,7.414
-0.137,0.438,-0.898,7.425
-0.148,0.449,-0.898,7.436
-0.152,0.441,-0.898,7.447
-0.148,0.441,-0.91,7.458
-0.148,0.438,-0.914,7.469
-0.145,0.434,-0.918,7.48
-0.137,0.438,-0.91,7.491
-0.133,0.438,-0.91,7.502
-0.137,0.438,-0.906,7.513
-0.137,0.438,-0.91,7.524
-0.137,0.438,-0.906,7.535
-0.137,0.441,-0.906,7.546
-0.148,0.441,-0.902,7.557
-0.156,0.445,-0.902,7.568
-0.152,0.441,-0.902,7.579
-0.152,0.441,-0.902,7.59
-0.148,0.438,-0.902,7.601
-0.145,0.438,-0.902,7.612
-0.145,0.438,-0.906,7.623
-0.145,0.438,-0.906,7.634
-0.141,0.438,-0.902,7.645
-0.141,0.434,-0.906,7.656
-0.145,0.441,-0.906,7.667
-0.148,0.438,-0.902,7.678
-0.141,0.441,-0.902,7.689
-0.137,0.441,-0.902,7.7
-0.141,0.441,-0.902,7.711
-0.148,0.441,-0.902,7.722
-0.141,0.441,-0.906,7.733
-0.141,0.441,-0.906,7.744
-0.137,0.441,-0.902,7.755
-0.137,0.441,-0.902,7.766
-0.137,0.441,-0.902,7.777
-0.137,0.441,-0.902,7.788
-0.137,0.434,-0.902,7.799
-0.141,0.438,-0.902,7.81
-0.148,0.441,-0.902,7.821
-0.141,0.438,-0.902,7.832
-0.148,0.441,-0.902,7.843
-0.152,0.441,-0.902,7.854
-0.145,0.438,-0.902,7.865
-0.148,0.441,-0.906,7.876
-0.145,0.441,-0.906,7.887
-0.141,0.438,-0.906,7.898
-0.141,0.438,-0.906,7.909
-0.137,0.438,-0.906,7.92
-0.141,0.449,-0.906,7.931
-0.141,0.441,-0.898,7.942
-0.141,0.441,-0.902,7.953
-0.141,0.438,-0.902,7.964
-0.141,0.441,-0.902,7.975
-0.145,0.438,-0.902,7.986
-0.145,0.438,-0.906,7.997
-0.145,0.441,-0.906,8.008
-0.145,0.438,-0.902,8.019
-0.145,0.441,-0.902,8.03
-0.145,0.441,-0.902,8.041
-0.141,0.438,-0.906,8.052
-0.145,0.438,-0.902,8.063
-0.148,0.438,-0.902,8.074
-0.145,0.434,-0.902,8.085
-0.148,0.434,-0.902,8.096
-0.145,0.434,-0.906,8.107
-0.148,0.438,-0.91,8.118
-0.148,0.434,-0.91,8.129
-0.148,0.434,-0.906,8.14
-0.156,0.426,-0.906,8.151
-0.156,0.434,-0.906,8.162
-0.152,0.434,-0.906,8.173
-0.148,0.438,-0.902,8.184
-0.152,0.438,-0.902,8.195
-0.156,0.438,-0.902,8.206
-0.156,0.43,-0.902,8.217
-0.156,0.434,-0.91,8.228
-0.148,0.43,-0.914,8.239
-0.141,0.434,-0.914,8.25
-0.137,0.438,-0.91,8.261
-0.137,0.434,-0.906,8.272
-0.145,0.438,-0.906,8.283
-0.148,0.438,-0.902,8.294
-0.152,0.438,-0.902,8.305
-0.156,0.438,-0.902,8.316
-0.164,0.438,-0.902,8.327
-0.164,0.438,-0.902,8.338
-0.164,0.438,-0.902,8.349
-0.164,0.441,-0.906,8.36
-0.168,0.438,-0.906,8.371
-0.164,0.438,-0.906,8.382
-0.16,0.438,-0.906,8.393
-0.16,0.438,-0.902,8.404
-0.156,0.438,-0.902,8.415
-0.152,0.449,-0.906,8.426
-0.148,0.441,-0.902,8.437
-0.145,0.441,-0.902,8.448
-0.152,0.441,-0.906,8.459
-0.16,0.438,-0.906,8.47
